feature,importance
BMI,0.1540553795090941
GenHlth,0.14462985199731204
HighBP,0.11448154294687356
Age,0.11339120025612598
Income,0.06588914509241613
PhysHlth,0.06194457042192311
HighChol,0.057396612292805606
MentHlth,0.0484919935265745
Education,0.04302310710803315
DiffWalk,0.03284498791898578
HeartDiseaseorAttack,0.019738913705138278
Fruits,0.019722291366799226
Sex,0.01966162830627219
Smoker,0.01930659800388573
PhysActivity,0.018724847488698668
Veggies,0.01706722988718189
NoDocbcCost,0.011948703955931485
HvyAlcoholConsump,0.01082768896715447
Stroke,0.010019363731766939
CholCheck,0.008620749760986817
AnyHealthcare,0.008213593756040352
